model,dataset,T,seed,depth,ann_accuracy,snn_accuracy,accuracy_drop,total_spikes,avg_spikes_per_sample,total_neurons,spike_density,snn_latency_ms_per_sample,ann_latency_ms_per_sample,E_SNN_pJ,E_ANN_pJ,energy_ratio,synops,mac_count,memory_mb,gpu_memory_mb,complexity_rank,snn_accuracy_pct,ann_accuracy_pct,SCI
resnet34,tiny_imagenet,16,42,34,0.641,0.4014702866212205,0.2395297133787794,1238875856,123887.58565657432,393216,0.315062422832678,11.488931280555327,0.3625,111498.8270909169,3357999999.9999995,3.320393897883172e-05,123887,730000000,96.35177008493672,0.0,5,40.14702866212205,64.1,6.538320913911948e-07
vgg9,cifar100,16,7,9,0.641,0.3920167673139037,0.2489832326860963,382689975,38268.99757909613,98304,0.389292374461834,3.764573192323835,0.11875,34442.09782118652,552000000.0,6.239510474852631e-05,38268,120000000,154.08996209860464,0.0,4,39.20167673139037,64.1,1.5181211551467911e-06
resnet18,mnist,4,7,18,0.995,0.3277717418104575,0.6672282581895426,40145756,4014.575630211315,262144,0.0153143906792118,2.124556884057239,0.2625,3613.1180671901834,2576000000.0,1.4026079453378042e-06,4014,560000000,69.28553041537994,0.0,1,32.77717418104575,99.5,5.370021511167443e-09
vgg16,tiny_imagenet,2,7,16,0.561,0.0835031264692211,0.4774968735307789,115950900,11595.09007299423,196608,0.0589756778615022,0.933289950374956,0.23125,10435.581065694809,1426000000.0,7.3180792887060355e-06,11595,310000000,180.5373805955127,0.0,5,8.350312646922111,56.10000000000001,2.1579434334782927e-07
vgg9,cifar10,128,42,9,0.895,0.85613793231537,0.0388620676846299,2167000078,216700.0078612013,98304,2.2043864731974416,30.71458404956931,0.11875,195030.00707508117,552000000.0,0.0003533152302084,216700,120000000,168.11277531542083,0.0,3,85.613793231537,89.5,6.084713392548549e-06
resnet18,cifar100,16,7,18,0.731,0.4582226154268178,0.2727773845731822,562155672,56215.56725305666,262144,0.2144453706857935,8.498227536228956,0.2625,50594.010527750994,2576000000.0,1.9640532037170415e-05,56215,560000000,154.08996209860464,0.0,4,45.82226154268178,73.1,2.6323882332357584e-07
vgg16,fashion_mnist,32,42,16,0.939,0.7559138874816607,0.1830861125183392,528127761,52812.77618235379,196608,0.2686196705238535,14.468811582851089,0.23125,47531.49856411841,1426000000.0,3.3332046678904915e-05,52812,310000000,184.15674026583608,0.0,2,75.59138874816607,93.89999999999999,2.7980135614916075e-07
resnet18,fashion_mnist,128,123,18,0.941,0.9141294555976274,0.0268705444023725,1866804914,186680.4914331919,262144,0.7121295602157284,65.17377246311557,0.2625,168012.4422898727,2576000000.0,6.522222138582015e-05,186680,560000000,132.65534018039196,0.0,2,91.41294555976273,94.1,3.628646236857577e-07
vgg16,cifar10,1,7,16,0.931,0.05,0.881,26229562,2622.956229088511,196608,0.0133410452732773,0.466644975187478,0.23125,2360.66060617966,1426000000.0,1.6554422203223423e-06,2622,310000000,99.0458414908341,0.0,3,5.0,93.10000000000001,2.2085329608615127e-08
resnet34,tiny_imagenet,2,42,34,0.641,0.1034052866212205,0.5375947133787795,154859482,15485.948207071791,393216,0.0393828028540847,1.436116410069416,0.3625,13937.353386364612,3357999999.9999995,4.150492372353965e-06,15485,730000000,68.38482645108074,0.0,5,10.34052866212205,64.1,8.172901142389936e-08
